"mediator","a","a_se","a_p","b","b_se","b_OR","b_p","c_prime","c_prime_se","c_prime_OR","c_prime_p","c_total","c_total_se","c_total_OR","c_total_p","ACME","ACME_low","ACME_high","ACME_p","ADE","ADE_low","ADE_high","ADE_p","Total","Total_low","Total_high","Total_p","PropMediated","Prop_low","Prop_high","Prop_p","Module","sig","ACME_ci","a_ci","b_ci","cprime_ci","c_ci"
"up1_D4",0.0389818426405292,0.0118148074971273,0.00112347459356155,1.62074837004454,0.420330457240335,5.05687331335331,0.000115308926334647,0.133497679659496,0.0759474576019778,1.14281861440371,0.0787877340860912,0.188034426944085,0.0728031467313353,1.20687506365474,0.00980081268317138,0.0107575749620226,0.0038002577378127,0.0206962453858465,0.001,0.022735000801543,-0.00520798734438433,0.0510794137521262,0.1,0.0334925757635656,0.00692037091717275,0.061082581928068,0.018,0.321192823089022,0.0873884692391537,1.30645549550614,0.019,"Inflammatory signaling","**","0.011 (0.004, 0.021)","0.039 ± 0.012","1.621 (OR=5.057)","0.133 (OR=1.143)","0.188 (OR=1.207)"
"up2_D4",0.0292414978535359,0.0122612388763648,0.0179000135924328,1.45359615930682,0.404357837073743,4.27847295325186,0.000324608163858011,0.150306782433718,0.0741797917961093,1.16219072774372,0.042739200772286,0.188034426944085,0.0728031467313353,1.20687506365474,0.00980081268317138,0.00723376160271891,0.0012490377703175,0.0161517010151157,0.013,0.0255881952299051,-0.00298981651308266,0.0529248545376795,0.076,0.032821956832624,0.00608946486627172,0.0598300329926834,0.018,0.220393977105252,0.0271444685445002,1.09689350237236,0.031,"Phagolysosome function","*","0.007 (0.001, 0.016)","0.029 ± 0.012","1.454 (OR=4.278)","0.150 (OR=1.162)","0.188 (OR=1.207)"
"up3_D4",0.0503906559983867,0.0112050097104257,1.09466128670986e-05,1.24944277071207,0.427996308591392,3.48839857792395,0.0035083644898725,0.128403658420171,0.0768433697965345,1.13701187449407,0.0947258227315875,0.188034426944085,0.0728031467313353,1.20687506365474,0.00980081268317138,0.0109651416352928,0.0035077262146286,0.0219526096555676,0.006,0.0223672826496587,-0.0111840184693841,0.0504113673776915,0.182,0.0333324242849515,0.00391268883945673,0.0605917981352513,0.031,0.328963220363279,0.0532892928391835,1.84010492464659,0.037,"IFN signaling","**","0.011 (0.004, 0.022)","0.050 ± 0.011","1.249 (OR=3.488)","0.128 (OR=1.137)","0.188 (OR=1.207)"
"dw1_D4",-0.0479899891627198,0.0129752430203278,0.000271468030454558,-1.17226611930567,0.385167298656359,0.30966440905958,0.00233824381961744,0.135196233914816,0.0750145113535678,1.14476140332337,0.0715032913495634,0.188034426944085,0.0728031467313353,1.20687506365474,0.00980081268317138,0.00981034955842039,0.00270000500607147,0.0194418966161885,0.007,0.023582318723731,-0.00453668302685828,0.0523512599783067,0.11,0.0333926682821514,0.00690658728637057,0.0614287664932111,0.015,0.29378753070967,0.0644909413172395,1.24896227094518,0.022,"Ribosome biogenesis","**","0.010 (0.003, 0.019)","-0.048 ± 0.013","-1.172 (OR=0.310)","0.135 (OR=1.145)","0.188 (OR=1.207)"
