"variable","median_survivor","median_death","fold_change","log2FC","p_value","FDR","sig"
"C4",25.6,20,0.78125,-0.356143810225275,0.00174710711746759,0.0139768569397407,"*"
"IL6",42.6,70.7,1.65962441314554,0.730856784583561,0.00987982190525592,0.028683913711881,"*"
"CD3CD4T",0.157872,0.1119885,0.709362648221344,-0.49540472830828,0.0129901700023929,0.028683913711881,"*"
"C3",98.65,90,0.912316269640142,-0.132394049506522,0.0143419568559405,0.028683913711881,"*"
"IL8",25.6,67.225,2.6259765625,1.39285403987287,0.0220493128407341,0.0352789005451745,"*"
"CD3T",0.29484,0.258356,0.876258309591643,-0.190571874566027,0.0942984919249548,0.125731322566606,""
"TNFa",1.3,1.72,1.32307692307692,0.403896941673643,0.390447098860678,0.446225255840775,""
"hsCRP",105.7,99.14,0.937937559129612,-0.0924362127997187,0.911543395661329,0.911543395661329,""
