"Barcode","name","nt_rpm","Bacteriodes","Citrobacter","Escherichia","Enterobacter","Klebsiella","Haemophilus","Lactobacillus","Morganella","Prevotella","Proteus","Pseudomonas","Serratia","Staphylococcus","Streptococcus","Anelloviridae","HepatitisB","HSV1","HSV2","VZV","HHV4","HHV5","HHV6","HHV8","Bocavirus","Polyomavirus"
"EARLI_11983","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113022429,0,0,0,0
"EARLI_12003","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_12004","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.0780378,0,0,0,0,0,0.180902755,0.108541653,0,0,0,0
"EARLI_12005","Escherichia coli",12.76770712,0,0,12.76770712,0,6.485701895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_12012","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_12045","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_12087","",0,0,0,0,0,0,0,0,0,0,0,2059.801384,0,0,0,0,0,0,0,0,0.821098959,0,0,0,0,0
"EARLI_12110","",0,0,0,0,0,0,0,0,0,0,0,0,0,89.73207381,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_12113","Streptococcus pneumoniae",0.579487934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579487934,0.732881799,0,0,0,0,0,1.533938648,0,0,0,0
"EARLI_50172","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50184","Escherichia coli",48.46086035,0,0,48.46086035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121760956,0,0.405869852,0,0
"EARLI_50288","",0,0,0,355.6059244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50292","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50297","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50302","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.592299951,0,0,0,0,0,0,0,0.185164282,0,0,0
"EARLI_50316","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393374821,0,0,0,0.327812351,0
"EARLI_50356","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50361","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50366","",0,0,0,535.8163271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50367","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.833071,0,0,0,0,0,1.568639021,0,0,0,0,0
"EARLI_50372","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50377","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153532593,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50398","Enterobacter hormaechei",0.577914658,0,0,0,0.577914658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305954819,0,0,0,0,0
"EARLI_50400","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50413","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128296009,0,0,0,0,0
"EARLI_50417","",0,0,0,14.89131444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50418","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75123482,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50428","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50435","",0,0,0,0,0,0,0,0,0,0,0,0,0,7.760126883,0,0,0,0,0,0,2.678436229,0.476981794,0,0,0,0
"EARLI_50445","",0,0,0,0,0,0,0,0,0,0,0,0,0,36.99981862,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50447","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50471","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239559718,0,0
"EARLI_50498","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50511","",0,0,0,0,0,0,0,0.168819874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50514","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50515","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50537","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50561","",0,0,0,0,0,0,0,0,0,0,0,0,0,97.43203099,0,0,0,0,0,0,0.246600939,0,0,0,0,0
"EARLI_50576","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EARLI_50577","Streptococcus pyogenes",0.617697217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617697217,0,0,0,0,0,0,0,0,0,0,0
